case;channel;program;date;title;decision_date;decision
18_03652;SR;Plånboken;2018-10-13;P1, Plånboken, inslag om statistik som säger att hyresnivån på hyresrätter har ökat;2018-12-14;Acquittal
18_03729;SR;Tankesmedjan;2018-10-17;P3, Tankesmedjan, inslag om så kallade swishtiggare;2019-09-16;Acquittal
18_03759;SR;Morgonpasset i P3;2018-10-19;Morgonpasset i P3, inslag om nyhet om skattesvindel;2019-03-18;Acquittal
18_03760;SR;Morgon i P4 Väst;2018-10-19;Morgon i P4 Väst, inslag om banker som skattesvindlat;2018-12-20;Acquittal
18_03771;SR;Studio Ett;2018-10-16;P1, Studio ett, inslag om att det gått ett år sedan Metoo-rörelsen startade;2019-04-01;Acquittal
18_03778;SR;Ekots lördagsintervju;2018-10-20;P1, Lördagsintervjun, program med en intervju med Per Gyllenhammar;2018-12-20;Acquittal
18_03796;SR;Tankesmedjan;2018-10-17;P3, Tankesmedjan, satirinslag om nya sorters tiggare;2019-01-16;Acquittal
18_03854;SR;Fråga vad du vill;2018-10-27;Fråga vad du vill i P3, inslag i en intervju med en pilot;2018-12-20;Acquittal
18_03932;SR;P1-morgon;2018-11-05;P1-morgon inslag om amerikanska mellanårsvalet;2019-01-31;Acquittal
18_03937;SR;Studio Ett;2018-11-04;P1, Studio Ett, inslag om politik;2019-03-07;Acquittal
18_03941;SR;Tendens: Magneten bakom örat;2018-11-05;P1, Tendens, dokumentär om en hörselskadad flicka;2019-01-31;Acquittal
18_03956;SR;Morgoneko;2018-11-01;P1, Morgonekot, inslag om köerna till landets slakterier;2019-01-16;Acquittal
18_04021;SR;Studio Ett;2018-11-13;P1, Studio Ett inslag om lärarlegitimationer;2019-01-31;Acquittal
18_04024;SR;P1-morgon;2018-11-14;P1-morgon, inslag om en person som anmält ett hatbrott;2019-03-07;Acquittal
18_04058;SR;Vetandets värld;2018-08-20;P1, Vetandets värld, inslag om klimatet;2019-02-13;Acquittal
18_04059;SR;Eftermiddag i P4 Dalarna;2018-11-08;Eftermiddag i P4 Dalarna med Emma och Martin och Dalanytt, inslag om en försvunnen elev;2019-06-24;Acquittal
18_04062;SR;Studio Ett;2018-11-16;P1, Studio Ett, inslag om en sångbok för teknologstudenter;2019-02-13;Acquittal
18_04068;SR;Naturmorgon;2018-11-17;P1, Naturmorgon, program om naturen i Montenegro;2019-03-07;Acquittal
18_04070;SR;Morgonpasset i P3;2018-11-18;Morgonpasset i P3, inslag om reaktioner på ett Tankesmedjan-inslag;2019-04-01;Acquittal
18_04088;SR;Studio Ett;2018-11-20;P1, Studio Ett inslag om Istanbulkonventionen och begreppet genus i det Bulgariska samhället;2019-02-13;Acquittal
18_04135;SR;Ring P1;2018-11-22;Ring P1, inslag med en inringande lyssnare om överbefolkning och miljöproblem;2019-01-16;Acquittal
18_04193;SR;Dagens eko;2018-11-26;P4, Dagens eko inslag om skatter;2019-01-31;Acquittal
